"norm_bias"	"rf_bias"	"cart_bias"	"xgb_bias"	"xgbParam_bias"	"mixgb_bias"	"norm_cov"	"rf_cov"	"cart_cov"	"xgb_cov"	"xgbParam_cov"	"mixgb_cov"	"norm_width"	"rf_width"	"cart_width"	"xgb_width"	"xgbParam_width"	"mixgb_width"
"(Intercept)"	-0.0804958631535979	0.181306083221493	0.0523382169891294	0.0053269997298991	0.158905216127836	0.247709822425071	1	1	1	1	0.666666666666667	1	1.25719141494441	2.48673261921518	1.73519676604734	1.07941286474607	1.43231190378877	1.67042472786495
"x"	-0.00289767762935611	-0.0367977096010466	-0.00716591974603986	-0.0240371428651246	-0.0417446264863598	-0.0446110439237731	1	1	1	1	0.666666666666667	1	0.194963133498094	0.377877964024975	0.266010277586188	0.169624204599154	0.228170955112051	0.253557885676171
"z"	-0.0138082114846734	-0.0115268650559641	-0.0505011524090245	0.0141302797536372	0.0115798273716941	-0.0110452064028155	1	1	1	1	0.666666666666667	1	0.178424643382835	0.377364282581443	0.217342155106354	0.169596391909034	0.227013136201509	0.208319017970455
"(Intercept)1"	-0.182469244642275	0.45467611576072	0.329982972989406	-0.0389934363501991	-0.300469406804296	0.259857202362343	1	1	1	1	0.333333333333333	1	1.4368469210859	2.28091720330801	2.34778350710227	1.34558301255733	1.65443186044996	1.4559140928668
"x1"	0.0117930579920718	-0.0382285460897318	-0.0294101063927658	-0.00878980725696958	0.0617100429625606	-0.0504114017175083	1	1	1	1	0.333333333333333	1	0.215625240147428	0.372765210658969	0.370034668047677	0.215965404893881	0.257012750876096	0.223513595969408
"z1"	-0.0201894742159454	-0.114981715192146	-0.0967365102335573	-0.0179325252060645	-0.121094216177305	-0.00287428206006076	1	1	0.666666666666667	1	0.666666666666667	0.666666666666667	0.201861445128846	0.432323304964572	0.319253189846536	0.177669775007685	0.255704462258924	0.208487484968292
"(Intercept)2"	-0.158549333932515	0.929997155297581	0.378186510852214	0.046372042709148	-0.314840493505852	1.79735756483916	0.666666666666667	0.666666666666667	1	1	0.666666666666667	0.333333333333333	1.29106852893436	2.99596769422025	2.88444738836807	1.39943367029957	1.64766394519591	1.98422673426707
"x2"	0.0148446029560567	-0.10412749086614	-0.00935125392599841	-0.0192784741745724	0.0754259040519025	-0.290132820771529	1	1	1	1	0.666666666666667	0	0.21189583425049	0.501480743679254	0.420566573849962	0.207509540833853	0.273705381301243	0.293456755150431
"z2"	-0.0412263070168695	-0.104263907893425	-0.176600695315829	-0.0218693749993761	-0.157342458598129	0.111242421483468	1	0.666666666666667	0.333333333333333	1	0.333333333333333	1	0.229071489407795	0.587326525940418	0.344171705130274	0.238738350193242	0.272012669420238	0.317831676104974
"(Intercept)3"	-0.117513197200121	1.00909384197558	0.401030316010326	0.110211440791007	-0.245961253319753	2.0333848247199	1	1	1	1	0.666666666666667	0.333333333333333	1.6101655788562	3.0710351680863	2.1187660024391	1.17250850816922	1.9109605857061	2.18650609568199
"x3"	0.0111724069137808	-0.0964606718776656	0.00169297621972131	-0.0289253756365504	0.0522901032687108	-0.297028472796629	1	1	1	1	0.666666666666667	0.333333333333333	0.260645240879891	0.518619054829176	0.323416573800486	0.189848269306691	0.3159397111796	0.364161271368313
"z3"	-0.0440429041672183	-0.137592903473293	-0.201041177430446	-0.00793320440519052	-0.112720711878399	0.0422854588986611	1	0.666666666666667	0.333333333333333	1	0.666666666666667	0.666666666666667	0.27099356549798	0.501501643912981	0.309018620102569	0.285972016671458	0.300750495413085	0.3678792974573
